"Çmimet mesatare sipas viteve në euro për disa artikuj dhe shërbime të përfshira në IÇK-it, 2002-2014"

"Artikujt";"Viti";Çmimet mesatare sipas viteve në euro për disa artikuj dhe shërbime të përfshira në IÇK
"Uji mineral  1.5lit";"2010";0.36
"Uji mineral  1.5lit";"2011";0.35
"Uji mineral  1.5lit";"2012";0.35
"Uji mineral  1.5lit";"2013";0.34
"Uji mineral  1.5lit";"2014";0.32
"Coca cola  2lit";"2010";1.23
"Coca cola  2lit";"2011";1.28
"Coca cola  2lit";"2012";1.28
"Coca cola  2lit";"2013";1.26
"Coca cola  2lit";"2014";1.25
"Lëng pemësh  1lit";"2010";0.74
"Lëng pemësh  1lit";"2011";0.77
"Lëng pemësh  1lit";"2012";0.76
"Lëng pemësh  1lit";"2013";0.78
"Lëng pemësh  1lit";"2014";0.74
"Sprite  2lit";"2010";1.19
"Sprite  2lit";"2011";1.26
"Sprite  2lit";"2012";1.27
"Sprite  2lit";"2013";1.26
"Sprite  2lit";"2014";1.25
